date,close
2023-01-02,69.858
2023-01-03,69.158
2023-01-04,69.854
2023-01-05,69.402
2023-01-06,70.062
2023-01-09,70.482
2023-01-10,69.676
2023-01-11,70.328
2023-01-12,70.56
2023-01-13,70.816
2023-01-16,71.104
2023-01-17,71.368
2023-01-18,70.904
2023-01-19,69.882
2023-01-20,70.36
2023-01-23,71.428
2023-01-24,71.306
2023-01-25,70.744
2023-01-26,71.568
2023-01-27,72.21
2023-01-30,71.86
2023-01-31,71.818
2023-02-01,71.754
2023-02-02,73.456
2023-02-03,73.856
2023-02-06,73.456
2023-02-07,73.628
2023-02-08,73.528
2023-02-09,73.602
2023-02-10,73.288
2023-02-13,73.748
2023-02-14,73.458
2023-02-15,74.074
2023-02-16,73.954
2023-02-17,73.132
2023-02-20,73.242
2023-02-21,72.558
2023-02-22,72.52
2023-02-23,72.452
2023-02-24,72.11
2023-02-27,72.51
2023-02-28,72.244
2023-03-01,71.524
2023-03-02,71.848
2023-03-03,73.03
2023-03-06,73.348
2023-03-07,72.876
2023-03-08,72.754
2023-03-09,72.776
2023-03-10,71.22
2023-03-13,69.572
2023-03-14,70.564
2023-03-15,69.902
2023-03-16,70.87
2023-03-17,70.328
2023-03-20,70.364
2023-03-21,70.912
2023-03-22,71.048
2023-03-23,70.456
2023-03-24,70.266
2023-03-27,70.854
2023-03-28,70.506
2023-03-29,71.202
2023-03-30,71.562
2023-03-31,72.378
2023-04-03,72.544
2023-04-04,72.138
2023-04-05,71.992
2023-04-06,72.042
2023-04-11,72.496
2023-04-12,72.202
2023-04-13,72.114
2023-04-14,72.634
2023-04-17,72.97
2023-04-18,73.122
2023-04-19,73.002
2023-04-20,72.776
2023-04-21,72.664
2023-04-24,72.428
2023-04-25,72.292
2023-04-26,71.53
2023-04-27,71.902
2023-04-28,72.566
2023-05-02,71.882
2023-05-03,71.938
2023-05-04,71.458
2023-05-05,72.4
2023-05-08,72.638
2023-05-09,72.89
2023-05-10,72.782
2023-05-11,73.008
2023-05-12,73.236
2023-05-15,73.454
2023-05-16,73.318
2023-05-17,73.52
2023-05-18,74.588
2023-05-19,74.534
2023-05-22,74.83
2023-05-23,74.618
2023-05-24,73.494
2023-05-25,73.81
2023-05-26,74.858
2023-05-29,75.102
2023-05-30,74.77
2023-05-31,74.336
2023-06-01,74.724
2023-06-02,76.064
2023-06-05,76.284
2023-06-06,76.426
2023-06-07,76.28
2023-06-08,75.882
2023-06-09,76.254
2023-06-12,76.466
2023-06-13,77.184
2023-06-14,77.182
2023-06-15,76.896
2023-06-16,77.214
2023-06-19,76.758
2023-06-20,76.394
2023-06-21,76.01
2023-06-22,75.826
2023-06-23,75.764
2023-06-26,75.592
2023-06-27,75.52
2023-06-28,76.27
2023-06-29,76.538
2023-06-30,77.202
2023-07-03,77.394
2023-07-04,77.486
2023-07-05,77.414
2023-07-06,76.144
2023-07-07,76.142
2023-07-10,75.846
2023-07-11,76.142
2023-07-12,76.474
2023-07-13,76.518
2023-07-14,76.498
2023-07-17,76.422
2023-07-18,76.836
2023-07-19,77.494
2023-07-20,77.572
2023-07-21,77.7
2023-07-24,77.992
2023-07-25,78.396
2023-07-26,78.092
2023-07-27,79.2
2023-07-28,78.972
2023-07-31,79.012
2023-08-01,78.94
2023-08-02,78.124
2023-08-03,77.722
2023-08-04,77.602
2023-08-07,77.426
2023-08-08,77.218
2023-08-09,77.164
2023-08-10,77.56
2023-08-11,77.038
2023-08-14,77.52
2023-08-15,77.002
2023-08-16,76.844
2023-08-17,76.326
2023-08-18,75.748
2023-08-21,75.784
2023-08-22,76.516
2023-08-23,76.986
2023-08-24,76.72
2023-08-25,76.77
2023-08-28,77.324
2023-08-29,77.99
2023-08-30,77.958
2023-08-31,78.548
2023-09-01,78.906
2023-09-04,78.906
2023-09-05,79.224
2023-09-06,78.562
2023-09-07,78.462
2023-09-08,78.64
2023-09-11,78.626
2023-09-12,78.694
2023-09-13,78.65
2023-09-14,79.644
2023-09-15,79.266
2023-09-18,78.918
2023-09-19,78.546
2023-09-20,78.788
2023-09-21,77.536
2023-09-22,77.486
2023-09-25,77.45
2023-09-26,76.804
2023-09-27,76.998
2023-09-28,77.166
2023-09-29,77.28
2023-10-02,77.196
2023-10-03,76.222
2023-10-04,75.99
2023-10-05,76.02
2023-10-06,76.464
2023-10-09,76.958
2023-10-10,78.012
2023-10-11,77.676
2023-10-12,78.32
2023-10-13,77.848
2023-10-16,78.196
2023-10-17,78.032
2023-10-18,77.584
2023-10-19,76.702
2023-10-20,75.354
2023-10-23,75.074
2023-10-24,75.476
2023-10-25,75.146
2023-10-26,74.574
2023-10-27,73.922
