date,close
2023-01-03,126.2188
2023-01-04,127.5
2023-01-05,127.5312
2023-01-06,129.2188
2023-01-09,129.9062
2023-01-10,128.2188
2023-01-11,129.0938
2023-01-12,130.6562
2023-01-13,130.0
2023-01-17,129.7188
2023-01-18,132.0625
2023-01-19,131.75
2023-01-20,130.4688
2023-01-23,129.8438
2023-01-24,130.8438
2023-01-25,130.8125
2023-01-26,130.4062
2023-01-27,130.1562
2023-01-30,129.7812
2023-01-31,129.875
2023-02-01,131.6562
2023-02-02,131.7812
2023-02-03,130.0625
2023-02-06,129.0
2023-02-07,128.4062
2023-02-08,128.3438
2023-02-09,127.875
2023-02-10,126.9375
2023-02-13,127.375
2023-02-14,126.9688
2023-02-15,126.2188
2023-02-16,125.5625
2023-02-17,125.7812
2023-02-21,124.0938
2023-02-22,124.5625
2023-02-23,125.0938
2023-02-24,123.875
2023-02-27,124.2188
2023-02-28,124.125
2023-03-01,123.1875
2023-03-02,122.2188
2023-03-03,123.8438
2023-03-06,123.5938
2023-03-07,124.0
2023-03-08,124.1875
2023-03-09,124.7188
2023-03-10,128.0312
2023-03-13,130.125
2023-03-14,128.5938
2023-03-15,130.2188
2023-03-16,129.1562
2023-03-17,131.2812
2023-03-20,130.0
2023-03-21,128.7188
2023-03-22,129.0312
2023-03-23,131.7812
2023-03-24,132.3438
2023-03-27,130.3438
2023-03-28,129.9375
2023-03-29,129.8125
2023-03-30,130.1562
2023-03-31,131.1562
2023-04-03,131.9375
2023-04-04,133.125
2023-04-05,134.0625
2023-04-06,134.0938
2023-04-10,132.5625
2023-04-11,132.375
2023-04-12,132.1562
2023-04-13,131.8125
2023-04-14,130.7188
2023-04-17,129.75
2023-04-18,130.0312
2023-04-19,129.7188
2023-04-20,130.3125
2023-04-21,129.9062
2023-04-24,130.75
2023-04-25,132.375
2023-04-26,131.7188
2023-04-27,130.4062
2023-04-28,131.6562
2023-05-01,129.6562
2023-05-02,131.4375
2023-05-03,131.875
2023-05-04,132.125
2023-05-05,130.9688
2023-05-08,129.875
2023-05-09,129.6875
2023-05-10,130.6875
2023-05-11,131.5312
2023-05-12,130.7188
2023-05-15,129.7812
2023-05-16,129.125
2023-05-17,128.7812
2023-05-18,127.9062
2023-05-19,127.1562
2023-05-22,126.7812
2023-05-23,126.9375
2023-05-24,126.5625
2023-05-25,125.5312
2023-05-26,125.625
2023-05-30,127.1875
2023-05-31,128.0625
2023-06-01,128.5938
2023-06-02,127.6875
2023-06-05,127.6875
2023-06-06,127.7188
2023-06-07,126.3125
2023-06-08,127.4688
2023-06-09,127.3438
2023-06-12,126.9688
2023-06-13,126.0625
2023-06-14,126.9375
2023-06-15,127.75
2023-06-16,127.3438
2023-06-20,128.25
2023-06-21,127.8125
2023-06-22,127.0
2023-06-23,127.9062
2023-06-26,128.0938
2023-06-27,127.5625
2023-06-28,128.25
2023-06-29,126.1562
2023-06-30,126.9062
2023-07-03,126.625
2023-07-05,125.25
2023-07-06,124.0312
2023-07-07,123.75
