date,close
2008-02-01,147.832
2008-03-01,147.152
2008-03-31,142.78
2008-04-30,140.458
2008-05-31,138.532
2008-06-30,141.54
2008-07-31,143.89
2008-08-31,145.311
2008-09-30,143.758
2008-11-01,151.169
2008-12-01,154.363
2009-01-01,134.8
2009-02-01,136.78
2009-03-01,144.44
2009-03-31,136.73
2009-04-30,130.97
2009-05-31,129.68
2009-06-30,131.93
2009-07-31,136.76
2009-08-31,142.7
2009-09-30,138.02
2009-11-01,142.44
2009-12-01,136.77
2010-01-01,135.23
2010-02-01,141.2
2010-03-01,140.93
2010-03-31,136.62
2010-04-30,137.75
2010-05-31,132.04
2010-06-30,134.22
2010-07-31,138.84
2010-08-31,143.31
2010-09-30,140.78
2010-11-01,133.77
2010-12-01,157.8
2011-01-01,133.3
2011-02-01,132.715
2011-03-01,136.845
2011-03-31,137.275
2011-04-30,137.445
2011-05-31,142.44
2011-06-30,141.27
2011-07-31,147.38
2011-08-31,146.45
2011-09-30,142.67
2011-11-01,139.415
2011-12-01,140.67
2012-01-01,140.97
2012-02-01,142.925
2012-03-01,142.58
2012-03-31,139.205
2012-04-30,141.6
2012-05-31,139.445
2012-06-30,139.505
2012-07-31,140.4
2012-08-31,141.17
2012-09-30,141.48
2012-11-01,144.59
2012-12-01,146.34
2013-01-01,151.055
2013-02-01,154.05
2013-03-01,152.785
2013-03-31,154.915
2013-04-30,153.715
2013-05-31,151.015
2013-06-30,155.635
2013-07-31,150.705
2013-08-31,149.4
2013-09-30,152.23
2013-11-01,149.54
2013-12-01,148.44
2014-01-01,150.175
2014-02-01,151.855
2014-03-01,153.875
2014-03-31,153.035
2014-04-30,153.625
2014-05-31,153.035
2014-06-30,152.915
2014-07-31,156.16
2014-08-31,153.605
2014-09-30,153.975
2014-11-01,158.745
2014-12-01,157.42
2015-01-01,154.38
2015-02-01,150.285
2015-03-01,150.795
2015-03-31,149.2
2015-04-30,144.865
2015-05-31,139.27
2015-06-30,142.34
2015-07-31,146.12
2015-08-31,149.495
2015-09-30,146.45
2015-11-01,144.635
2015-12-01,149.5
2016-01-01,158.84
2016-02-01,163.59
2016-03-01,166.865
2016-03-31,163.195
2016-04-30,160.575
2016-05-31,178.66
2016-06-30,181.655
2016-07-31,183.06
2016-08-31,186.94
2016-09-30,190.105
2016-11-01,175.385
2016-12-01,179.695
2017-01-01,175.985
2017-02-01,177.235
2017-03-01,176.31
2017-03-31,174.91
2017-04-30,181.705
2017-05-31,182.34
2017-06-30,186.195
2017-07-31,193.855
2017-08-31,184.41
2017-09-30,186.005
2017-11-01,186.84
2017-12-01,186.465
2018-01-01,182.33
2018-02-01,184.67
2018-03-01,186.47
2018-03-31,185.905
2018-04-30,183.03
2018-05-31,185.955
2018-06-30,186.93
2018-07-31,186.61
2018-08-31,185.24
2018-09-30,184.515
2018-11-01,185.39
2018-12-01,188.825
2019-01-01,186.29
2019-02-01,182.535
2019-03-01,187.38
2019-03-31,187.0
2019-04-30,193.62
2019-05-31,200.095
2019-06-30,206.845
2019-07-31,209.17
2019-08-31,204.55
2019-09-30,196.775
2019-11-01,192.025
2019-12-01,190.23
2020-01-01,192.24
2020-02-01,197.575
2020-03-01,198.01
2020-03-31,194.66
2020-04-30,202.575
2020-05-31,206.235
2020-06-30,206.02
2020-07-31,202.99
2020-08-31,208.93
2020-09-30,208.72
2020-11-01,208.055
2020-12-01,209.06
2021-01-01,204.92
2021-02-01,197.46
2021-03-01,194.805
2021-03-31,197.135
2021-04-30,194.48
2021-05-31,195.095
2021-06-30,197.3
2021-07-31,197.245
2021-08-31,194.685
2021-09-30,188.905
2021-11-01,194.5
2021-12-01,189.105
2022-01-01,185.245
2022-02-01,182.32
2022-03-01,178.4
2022-03-31,170.495
2022-04-30,170.065
2022-05-31,168.95
2022-06-30,172.02
2022-07-31,167.06
2022-08-31,162.155
2022-09-30,159.435
2022-11-01,163.455
2022-12-01,159.795
2023-01-01,163.37
2023-02-01,158.07
2023-03-01,163.275
2023-03-31,163.18
2023-04-30,159.665
2023-05-31,158.495
2023-06-30,157.96
2023-07-31,158.39
2023-08-31,155.44
2023-09-30,157.235
2023-11-01,158.9
2023-12-01,166.9
2024-01-01,162.59
2024-02-01,160.78
2024-03-01,162.42
2024-03-31,159.605
2024-04-30,156.95
2024-05-31,156.49
2024-06-30,159.58
2024-07-31,159.805
2024-08-31,160.45
2024-09-30,160.245
2024-11-01,159.545
2024-12-01,156.675
2025-01-01,157.75
2025-02-01,157.25
2025-03-01,156.18
2025-03-31,162.51
2025-04-30,159.14
2025-05-31,161.45
2025-06-30,162.53
2025-07-31,162.34
2025-08-31,164.3
2025-09-30,167.13
2025-11-01,164.46
2025-12-01,162.85
2026-01-01,162.76
2026-02-01,167.665
2026-03-01,161.23
2026-03-31,160.18
2026-04-30,160.495
2026-05-31,160.315
2026-06-30,155.885
2026-07-31,155.41
2026-08-20,155.755
